1000000	1000200	15
1000200	1000400	18
1000400	1000600	92
1000600	1000800	105
1000800	1001000	118
1001000	1001200	95
1001200	1001400	88
1001400	1001600	25
1001600	1001800	19
1001800	1002000	22
1002000	1002200	16
1002200	1002400	14
1002400	1002600	11
1002600	1002800	13
1002800	1003000	17
1003000	1003200	45
1003200	1003400	52
1003400	1003600	68
1003600	1003800	71
1003800	1004000	58
1004000	1004200	49
1004200	1004400	42
1004400	1004600	21
1004600	1004800	18
1004800	1005000	23
1005000	1005200	15
1005200	1005400	12
1005400	1005600	19
1005600	1005800	24
1005800	1006000	27
1006000	1006200	22
1006200	1006400	18
1006400	1006600	16
1006600	1006800	20
1006800	1007000	25
1007000	1007200	88
1007200	1007400	102
1007400	1007600	125
1007600	1007800	138
1007800	1008000	145
1008000	1008200	132
1008200	1008400	115
1008400	1008600	98
1008600	1008800	85
1008800	1009000	76
1009000	1009200	28
1009200	1009400	21
1009400	1009600	17
1009600	1009800	14
1009800	1010000	19
1010000	1010200	23
1010200	1010400	18
1010400	1010600	15
1010600	1010800	13
1010800	1011000	11
1011000	1011200	16
1011200	1011400	20
1011400	1011600	24
1011600	1011800	22
1011800	1012000	18
1012000	1012200	55
1012200	1012400	72
1012400	1012600	85
1012600	1012800	91
1012800	1013000	78
1013000	1013200	65
1013200	1013400	52
1013400	1013600	25
1013600	1013800	19
1013800	1014000	16
1014000	1014200	14
1014200	1014400	12
1014400	1014600	15
1014600	1014800	18
1014800	1015000	21
1015000	1015200	17
1015200	1015400	13
1015400	1015600	10
1015600	1015800	9
1015800	1016000	12
1016000	1016200	15
1016200	1016400	19
1016400	1016600	22
1016600	1016800	18
1016800	1017000	16
1017000	1017200	14
1017200	1017400	11
1017400	1017600	8
1017600	1017800	10
1017800	1018000	13
1018000	1018200	42
1018200	1018400	58
1018400	1018600	75
1018600	1018800	88
1018800	1019000	95
1019000	1019200	102
1019200	1019400	89
1019400	1019600	76
1019600	1019800	22
1019800	1020000	18
1020000	1020200	15
1020200	1020400	12
1020400	1020600	14
1020600	1020800	17
1020800	1021000	20
1021000	1021200	16
1021200	1021400	13
1021400	1021600	11
1021600	1021800	9
1021800	1022000	7
1022000	1022200	10
1022200	1022400	14
1022400	1022600	18
1022600	1022800	22
1022800	1023000	19
1023000	1023200	16
1023200	1023400	13
1023400	1023600	11
1023600	1023800	8
1023800	1024000	6
1024000	1024200	62
1024200	1024400	78
1024400	1024600	92
1024600	1024800	108
1024800	1025000	122
1025000	1025200	135
1025200	1025400	128
1025400	1025600	115
1025600	1025800	98
1025800	1026000	82
1026000	1026200	68
1026200	1026400	25
1026400	1026600	19
1026600	1026800	16
1026800	1027000	13
1027000	1027200	11
1027200	1027400	14
1027400	1027600	17
1027600	1027800	20
1027800	1028000	23
1028000	1028200	18
1028200	1028400	15
1028400	1028600	12
1028600	1028800	10
1028800	1029000	8
1029000	1029200	11
1029200	1029400	14
1029400	1029600	18
1029600	1029800	21
1029800	1030000	17
1030000	1030200	48
1030200	1030400	65
1030400	1030600	82
1030600	1030800	95
1030800	1031000	88
1031000	1031200	75
1031200	1031400	62
1031400	1031600	28
1031600	1031800	22
1031800	1032000	18
1032000	1032200	15
1032200	1032400	12
1032400	1032600	10
1032600	1032800	13
1032800	1033000	16
1033000	1033200	19
1033200	1033400	22
1033400	1033600	18
1033600	1033800	15
1033800	1034000	12
1034000	1034200	10
1034200	1034400	8
1034400	1034600	11
1034600	1034800	14
1034800	1035000	17
1035000	1035200	52
1035200	1035400	68
1035400	1035600	85
1035600	1035800	98
1035800	1036000	112
1036000	1036200	125
1036200	1036400	108
1036400	1036600	92
1036600	1036800	78
1036800	1037000	25
1037000	1037200	19
1037200	1037400	16
1037400	1037600	13
1037600	1037800	11
1037800	1038000	14
1038000	1038200	17
1038200	1038400	20
1038400	1038600	16
1038600	1038800	13
1038800	1039000	10
1039000	1039200	8
1039200	1039400	11
1039400	1039600	15
1039600	1039800	18
1039800	1040000	14
