1000000	1000200	15
1000200	1000400	19
1000400	1000600	72
1000600	1000800	88
1000800	1001000	95
1001000	1001200	101
1001200	1001400	89
1001400	1001600	76
1001600	1001800	68
1001800	1002000	54
1002000	1002200	23
1002200	1002400	18
1002400	1002600	21
1002600	1002800	17
1002800	1003000	14
1003000	1003200	12
1003200	1003400	26
1003400	1003600	22
1003600	1003800	19
1003800	1004000	15
1004000	1004200	11
1004200	1004400	18
1004400	1004600	21
1004600	1004800	24
1004800	1005000	19
1005000	1005200	16
1005200	1005400	13
1005400	1005600	27
1005600	1005800	58
1005800	1006000	81
1006000	1006200	96
1006200	1006400	109
1006400	1006600	118
1006600	1006800	112
1006800	1007000	98
1007000	1007200	84
1007200	1007400	71
1007400	1007600	28
1007600	1007800	22
1007800	1008000	17
1008000	1008200	19
1008200	1008400	14
1008400	1008600	11
1008600	1008800	15
1008800	1009000	18
1009000	1009200	21
1009200	1009400	17
1009400	1009600	13
1009600	1009800	16
1009800	1010000	19
1010000	1010200	22
1010200	1010400	25
1010400	1010600	20
1010600	1010800	18
1010800	1011000	15
1011000	1011200	12
1011200	1011400	10
1011400	1011600	14
1011600	1011800	11
1011800	1012000	9
1012000	1012200	13
1012200	1012400	16
1012400	1012600	61
1012600	1012800	79
1012800	1013000	94
1013000	1013200	107
1013200	1013400	121
1013400	1013600	135
1013600	1013800	128
1013800	1014000	115
1014000	1014200	102
1014200	1014400	87
1014400	1014600	73
1014600	1014800	59
1014800	1015000	26
1015000	1015200	21
1015200	1015400	18
1015400	1015600	15
1015600	1015800	12
1015800	1016000	17
1016000	1016200	14
1016200	1016400	11
1016400	1016600	19
1016600	1016800	16
1016800	1017000	13
1017000	1017200	10
1017200	1017400	15
1017400	1017600	18
1017600	1017800	21
1017800	1018000	17
1018000	1018200	14
1018200	1018400	11
1018400	1018600	8
1018600	1018800	12
1018800	1019000	16
1019000	1019200	19
1019200	1019400	22
1019400	1019600	25
1019600	1019800	21
1019800	1020000	18
1020000	1020200	15
1020200	1020400	12
1020400	1020600	9
1020600	1020800	14
1020800	1021000	11
1021000	1021200	8
1021200	1021400	13
1021400	1021600	17
1021600	1021800	20
1021800	1022000	24
1022000	1022200	19
1022200	1022400	16
1022400	1022600	13
1022600	1022800	10
1022800	1023000	15
1023000	1023200	18
1023200	1023400	54
1023400	1023600	67
1023600	1023800	82
1023800	1024000	97
1024000	1024200	111
1024200	1024400	125
1024400	1024600	138
1024600	1024800	142
1024800	1025000	134
1025000	1025200	119
1025200	1025400	104
1025400	1025600	88
1025600	1025800	72
1025800	1026000	56
1026000	1026200	23
1026200	1026400	19
1026400	1026600	16
1026600	1026800	13
1026800	1027000	10
1027000	1027200	14
1027200	1027400	11
1027400	1027600	8
1027600	1027800	12
1027800	1028000	15
1028000	1028200	18
1028200	1028400	21
1028400	1028600	17
1028600	1028800	14
1028800	1029000	11
1029000	1029200	9
1029200	1029400	13
1029400	1029600	16
1029600	1029800	19
1029800	1030000	22
1030000	1030200	18
1030200	1030400	15
1030400	1030600	12
1030600	1030800	10
1030800	1031000	14
1031000	1031200	43
1031200	1031400	62
1031400	1031600	78
1031600	1031800	91
1031800	1032000	106
1032000	1032200	114
1032200	1032400	108
1032400	1032600	95
1032600	1032800	81
1032800	1033000	66
1033000	1033200	51
1033200	1033400	27
1033400	1033600	22
1033600	1033800	18
1033800	1034000	15
1034000	1034200	12
1034200	1034400	10
1034400	1034600	14
1034600	1034800	11
1034800	1035000	8
1035000	1035200	13
1035200	1035400	16
1035400	1035600	19
1035600	1035800	22
1035800	1036000	18
1036000	1036200	15
1036200	1036400	12
1036400	1036600	9
1036600	1036800	14
1036800	1037000	11
1037000	1037200	8
1037200	1037400	12
1037400	1037600	15
1037600	1037800	18
1037800	1038000	21
1038000	1038200	17
1038200	1038400	14
1038400	1038600	11
1038600	1038800	9
1038800	1039000	13
1039000	1039200	16
1039200	1039400	19
1039400	1039600	22
1039600	1039800	18
1039800	1040000	15
