read_0001	chr1	5000	75M	30
read_0002	chr1	4995	50M3D25M	25
read_0003	chr2	10500	100M	40
read_0004	chr1	4990	45M3D30M	35
read_0005	chr1	5000	80M	42
read_0006	chr3	15000	100M	38
read_0007	chr1	4998	47M3D28M	28
read_0008	chr1	5010	75M	33
read_0009	chr2	10480	55M5D45M	22
read_0010	chr1	4992	53M3D22M	31
read_0011	chr1	5005	70M	29
read_0012	chr3	15020	100M	45
read_0013	chr1	4996	49M3D26M	27
read_0014	chr2	10485	50M5D50M	24
read_0015	chr1	5002	78M	36
read_0016	chr1	4994	51M3D24M	30
read_0017	chr2	10490	45M5D55M	26
read_0018	chr1	5008	72M	34
read_0019	chr3	15005	95M	41
read_0020	chr1	4991	54M3D21M	29
read_0021	chr2	10488	52M5D48M	23
read_0022	chr1	5003	77M	37
read_0023	chr1	4997	48M3D27M	32
read_0024	chr2	10495	40M5D60M	25
read_0025	chr3	15010	100M	39
read_0026	chr1	5001	79M	35
read_0027	chr1	4993	52M3D23M	28
read_0028	chr2	10492	47M5D53M	21
read_0029	chr1	5006	74M	31
read_0030	chr3	15015	98M	43
read_0031	chr1	4999	46M3D29M	26
read_0032	chr2	10500	100M	44
read_0033	chr1	5004	76M	38
read_0034	chr2	10487	53M5D47M	20
read_0035	chr3	15025	100M	40
read_0036	chr1	5007	73M	32
read_0037	chr1	4989	56M3D19M	15
read_0038	chr2	10493	46M5D54M	27
read_0039	chr3	15030	95M	42
read_0040	chr1	5009	71M	33
read_0041	chr2	10505	100M	46
read_0042	chr4	20000	100M	37
read_0043	chr1	4988	57M2D18M	12
read_0044	chr2	10491	48M5D52M	28
read_0045	chr3	15012	97M	44
read_0046	chr4	20010	100M	39
read_0047	chr1	4995	50M3D25M	18
read_0048	chr2	10489	51M5D49M	29
read_0049	chr3	15018	96M	41
read_0050	chr4	20005	100M	38
read_0051	chr5	30000	75M	35
read_0052	chr1	5011	69M	30
read_0053	chr2	10496	42M5D58M	24
read_0054	chr3	15008	99M	40
read_0055	chr4	20015	100M	42
read_0056	chr5	30010	75M	36
read_0057	chr1	4987	58M4D17M	22
read_0058	chr2	10494	44M5D56M	26
read_0059	chr3	15022	98M	43
read_0060	chr4	20020	100M	41
read_0061	chr5	30005	80M	37
read_0062	chr1	5012	68M	31
read_0063	chr2	10498	38M5D62M	25
read_0064	chr3	15028	94M	39
read_0065	chr4	20008	100M	40
read_0066	chr5	30015	75M	38
read_0067	chr1	4986	59M3D16M	19
read_0068	chr2	10497	41M5D59M	23
read_0069	chr3	15035	93M	42
read_0070	chr4	20025	100M	44
read_0071	chr5	30020	80M	39
read_0072	chr1	5013	67M	32
read_0073	chr2	10499	39M5D61M	22
read_0074	chr3	15040	92M	41
read_0075	chr4	20030	100M	43
read_0076	chr5	30008	78M	36
read_0077	chr1	4985	60M3D15M	21
read_0078	chr2	10501	100M	45
read_0079	chr3	15045	91M	40
read_0080	chr4	20012	100M	38
read_0081	chr5	30025	75M	37
read_0082	chr1	5014	66M	33
read_0083	chr2	10502	100M	46
read_0084	chr3	15050	90M	39
read_0085	chr4	20035	100M	42
read_0086	chr5	30030	80M	40
read_0087	chr1	4984	61M3D14M	23
read_0088	chr2	10503	100M	47
read_0089	chr3	15016	97M	41
read_0090	chr4	20040	100M	44
read_0091	chr5	30012	77M	38
read_0092	chr1	5015	65M	34
read_0093	chr2	10504	100M	48
read_0094	chr3	15055	89M	40
read_0095	chr4	20018	100M	43
read_0096	chr5	30035	75M	39
read_0097	chr1	4983	62M3D13M	24
read_0098	chr2	10506	100M	49
read_0099	chr3	15060	88M	42
read_0100	chr4	20045	100M	45
read_0101	chr5	30040	80M	41
read_0102	chr1	5016	64M	35
read_0103	chr2	10507	100M	50
read_0104	chr3	15065	87M	43
read_0105	chr4	20050	100M	46
read_0106	chr5	30018	76M	37
read_0107	chr1	4982	63M3D12M	25
read_0108	chr2	10508	100M	51
read_0109	chr3	15070	86M	44
read_0110	chr4	20022	100M	42
read_0111	chr5	30045	75M	40
read_0112	chr1	5017	63M	36
read_0113	chr2	10509	100M	52
read_0114	chr3	15075	85M	45
read_0115	chr4	20055	100M	47
read_0116	chr5	30050	80M	42
read_0117	chr1	4981	64M3D11M	26
read_0118	chr2	10510	100M	53
read_0119	chr3	15080	84M	46
read_0120	chr4	20060	100M	48
read_0121	chr5	30022	78M	38
read_0122	chr1	5018	62M	37
read_0123	chr2	10511	100M	54
read_0124	chr3	15085	83M	47
read_0125	chr4	20028	100M	44
read_0126	chr5	30055	75M	41
read_0127	chr1	4980	65M3D10M	27
read_0128	chr2	10512	100M	55
read_0129	chr3	15090	82M	48
read_0130	chr4	20065	100M	49
read_0131	chr5	30060	80M	43
read_0132	chr1	5019	61M	38
read_0133	chr2	10513	100M	56
read_0134	chr3	15095	81M	49
read_0135	chr4	20070	100M	50
read_0136	chr5	30028	77M	39
read_0137	chr1	4979	66M3D9M	28
read_0138	chr2	10514	100M	57
read_0139	chr3	15100	80M	50
read_0140	chr4	20075	100M	51
read_0141	chr5	30065	75M	42
read_0142	chr1	5020	60M	39
read_0143	chr2	10515	100M	58
read_0144	chr3	15105	79M	51
read_0145	chr4	20080	100M	52
read_0146	chr5	30070	80M	44
read_0147	chr1	4978	67M3D8M	29
read_0148	chr2	10516	100M	59
read_0149	chr3	15110	78M	52
read_0150	chr4	20085	100M	53
