chromosome	position	gene_name	variant_type	clinical_significance
chr1	115258747	NRAS	missense	pathogenic
chr1	11200000	MTOR	intron	benign
chr1	43815009	MPL	missense	uncertain
chr2	209113112	IDH1	missense	pathogenic
chr2	25463352	DNMT3A	frameshift	likely_pathogenic
chr2	29443695	ALK	missense	pathogenic
chr2	198267359	SF3B1	missense	uncertain
chr3	41266101	CTNNB1	missense	likely_pathogenic
chr3	10183705	VHL	nonsense	pathogenic
chr3	178936091	PIK3CA	missense	pathogenic
chr3	52436938	BAP1	frameshift	pathogenic
chr3	142000000	ATR	intron	benign
chr4	55599268	KIT	missense	likely_pathogenic
chr4	106196951	TET2	frameshift	likely_pathogenic
chr4	1803568	FGFR3	missense	pathogenic
chr4	88000000	AFF1	intergenic	not_classified
chr5	112175770	APC	nonsense	pathogenic
chr5	149433596	CSF1R	missense	uncertain
chr5	170837543	NPM1	frameshift	pathogenic
chr5	68293902	PIK3R1	missense	likely_pathogenic
chr5	32000000	TERT	utr_5prime	uncertain
chr6	117210052	ROS1	missense	pathogenic
chr6	152419932	ESR1	missense	likely_pathogenic
chr6	29911000	HLA-A	intron	benign
chr7	55249071	EGFR	missense	pathogenic
chr7	140453136	BRAF	missense	pathogenic
chr7	116339672	MET	missense	pathogenic
chr7	148504677	EZH2	missense	likely_pathogenic
chr7	91750000	CDK6	intron	likely_benign
chr8	128748315	MYC	missense	uncertain
chr8	90968015	NBN	frameshift	pathogenic
chr8	128750000	MYC	utr_3prime	uncertain
chr9	5073770	JAK2	missense	pathogenic
chr9	133748283	ABL1	missense	pathogenic
chr9	21971120	CDKN2A	nonsense	pathogenic
chr9	110250000	KLF4	intergenic	not_classified
chr10	89692905	PTEN	missense	pathogenic
chr10	43613843	RET	missense	pathogenic
chr10	123279677	FGFR2	missense	likely_pathogenic
chr10	76000000	KAT6B	intron	benign
chr11	108138063	ATM	nonsense	pathogenic
chr11	534242	HRAS	missense	pathogenic
chr11	119149025	CBL	missense	uncertain
chr11	108138000	ATM	splice_site	pathogenic
chr11	65000000	FERMT3	intergenic	not_classified
chr12	25398285	KRAS	missense	pathogenic
chr12	25380275	KRAS	missense	pathogenic
chr12	56492931	ERBB3	missense	uncertain
chr12	133250000	POLE	intron	likely_benign
chr13	32914437	BRCA2	frameshift	pathogenic
chr13	32914438	BRCA2	nonsense	pathogenic
