chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10234	CG	8	5	0.996
chr1	10456	CG	12	3	0.997
chr1	10789	CG	6	8	0.995
chr1	11023	CG	9	4	0.998
chr1	11245	CG	3	11	0.994
chr1	11467	CG	15	2	0.996
chr1	11689	CG	7	6	0.995
chr1	11901	CG	4	9	0.997
chr1	12134	CG	10	5	0.996
chr1	12356	CG	8	7	0.995
chr1	12578	CG	11	4	0.998
chr1	12801	CHG	0	8	0.996
chr1	13023	CG	6	9	0.994
chr1	13245	CG	14	3	0.997
chr1	13467	CG	5	10	0.995
chr1	13689	CG	9	6	0.996
chr1	13912	CG	7	8	0.995
chr1	14134	CG	12	4	0.997
chr1	14356	CHH	0	12	0.995
chr1	14578	CG	8	7	0.996
chr1	14801	CG	10	5	0.997
chr1	15023	CG	6	9	0.995
chr1	15245	CG	13	3	0.998
chr1	15467	CG	7	8	0.996
chr1	15689	CG	9	6	0.995
chr1	15912	CG	4	11	0.994
chr1	16134	CG	11	5	0.997
chr1	16356	CG	8	7	0.996
chr1	16578	CHG	0	10	0.995
chr1	16801	CG	12	4	0.997
chr1	17023	CG	6	9	0.995
chr1	17245	CG	14	2	0.998
chr1	17467	CG	7	8	0.996
chr1	17689	CG	10	5	0.995
chr1	17912	CG	9	6	0.996
chr1	18134	CG	5	10	0.994
chr1	18356	CHH	0	11	0.996
chr1	18578	CG	11	4	0.997
chr1	18801	CG	8	7	0.995
chr1	19023	CG	13	3	0.998
chr1	19245	CG	6	9	0.995
chr1	19467	CG	10	5	0.996
chr1	19689	CG	7	8	0.995
chr1	19912	CG	12	4	0.997
chr1	20134	CG	9	6	0.996
chr1	20356	CG	5	10	0.994
chr1	20578	CHG	0	9	0.995
chr1	20801	CG	11	5	0.997
chr1	21023	CG	8	7	0.996
chr1	21245	CG	14	3	0.998
chr1	21467	CG	6	9	0.995
chr2	10234	CG	10	5	0.996
chr2	10456	CG	7	8	0.995
chr2	10789	CHH	0	12	0.996
chr2	11023	CG	12	4	0.997
chr2	11245	CG	9	6	0.996
chr2	11467	CG	5	10	0.994
chr2	11689	CG	13	3	0.998
chr2	11901	CG	8	7	0.995
chr2	12134	CG	11	5	0.997
chr2	12356	CG	6	9	0.995
chr2	12578	CHG	0	10	0.996
chr2	12801	CG	14	2	0.998
chr2	13023	CG	7	8	0.996
chr2	13245	CG	10	5	0.995
chr2	13467	CG	9	6	0.996
chr2	13689	CG	4	11	0.994
chr2	13912	CG	12	4	0.997
chr2	14134	CHH	0	11	0.995
chr2	14356	CG	8	7	0.996
chr2	14578	CG	13	3	0.998
chr2	14801	CG	6	9	0.995
chr2	15023	CG	11	5	0.997
chr2	15245	CG	7	8	0.996
chr2	15467	CG	10	5	0.995
chr2	15689	CHG	0	9	0.996
chr2	15912	CG	9	6	0.996
chr2	16134	CG	5	10	0.994
chr2	16356	CG	14	3	0.998
chr2	16578	CG	8	7	0.995
chr2	16801	CG	12	4	0.997
chr2	17023	CG	6	9	0.995
chr2	17245	CHH	0	12	0.996
chr2	17467	CG	11	5	0.997
chr2	17689	CG	7	8	0.996
chr2	17912	CG	13	3	0.998
chr2	18134	CG	9	6	0.995
chr2	18356	CG	5	10	0.994
chr2	18578	CHG	0	10	0.995
chr2	18801	CG	10	5	0.996
chr2	19023	CG	8	7	0.995
chr2	19245	CG	14	2	0.998
