chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10234	CG	12	8	0.996
chr1	10456	CG	5	10	0.997
chr1	10678	CG	8	7	0.995
chr1	10892	CG	15	4	0.998
chr1	11045	CG	3	12	0.996
chr1	11267	CG	9	6	0.997
chr1	11489	CG	11	9	0.996
chr1	11702	CG	7	8	0.995
chr1	11934	CG	14	5	0.998
chr1	12156	CG	6	11	0.997
chr1	12378	CHH	0	9	0.996
chr1	12590	CG	10	7	0.996
chr1	12812	CG	13	6	0.997
chr1	13034	CG	8	9	0.995
chr1	13256	CG	4	13	0.996
chr1	13478	CG	11	8	0.997
chr1	13690	CHG	1	10	0.996
chr1	13912	CG	9	7	0.996
chr1	14134	CG	12	5	0.998
chr1	14356	CG	7	10	0.996
chr1	14578	CG	15	6	0.997
chr1	14790	CG	5	12	0.995
chr1	15012	CG	10	8	0.996
chr1	15234	CG	8	9	0.997
chr1	15456	CG	13	7	0.996
chr1	15678	CHH	0	11	0.996
chr1	15890	CG	6	10	0.995
chr1	16112	CG	11	6	0.997
chr1	16334	CG	9	8	0.996
chr1	16556	CG	14	5	0.998
chr1	16778	CG	7	11	0.996
chr1	16990	CG	12	7	0.997
chr1	17212	CG	5	13	0.995
chr1	17434	CG	10	9	0.996
chr1	17656	CHG	0	10	0.996
chr1	17878	CG	8	7	0.997
chr1	18090	CG	13	6	0.996
chr1	18312	CG	6	12	0.995
chr1	18534	CG	11	8	0.997
chr1	18756	CG	9	7	0.996
chr1	18978	CG	15	5	0.998
chr1	19190	CG	7	10	0.996
chr1	19412	CG	12	6	0.997
chr1	19634	CHH	0	12	0.996
chr1	19856	CG	8	9	0.996
chr1	20078	CG	14	7	0.997
chr1	20290	CG	5	11	0.995
chr1	20512	CG	10	8	0.996
chr1	20734	CG	6	13	0.996
chr1	20956	CG	11	7	0.997
chr2	21178	CG	9	6	0.996
chr2	21390	CG	13	8	0.997
chr2	21612	CG	7	12	0.995
chr2	21834	CHG	1	11	0.996
chr2	22056	CG	12	7	0.997
chr2	22278	CG	8	9	0.996
chr2	22490	CG	15	6	0.998
chr2	22712	CG	5	10	0.996
chr2	22934	CG	10	7	0.997
chr2	23156	CG	6	12	0.995
chr2	23378	CG	11	8	0.996
chr2	23590	CHH	0	10	0.996
chr2	23812	CG	9	7	0.997
chr2	24034	CG	14	5	0.998
chr2	24256	CG	7	11	0.996
chr2	24478	CG	12	6	0.997
chr2	24690	CG	8	10	0.996
chr2	24912	CG	13	7	0.997
chr2	25134	CG	5	12	0.995
chr2	25356	CG	10	9	0.996
chr2	25578	CHG	0	11	0.996
chr2	25790	CG	6	13	0.996
chr2	26012	CG	11	7	0.997
chr2	26234	CG	9	8	0.996
chr2	26456	CG	15	5	0.998
chr2	26678	CG	7	10	0.996
chr2	26890	CG	12	6	0.997
chr2	27112	CHH	0	12	0.996
chr2	27334	CG	8	9	0.996
chr2	27556	CG	14	7	0.997
chr2	27778	CG	5	11	0.995
chr2	27990	CG	10	8	0.996
chr2	28212	CG	6	12	0.996
chr2	28434	CG	11	7	0.997
chr2	28656	CG	9	6	0.996
chr2	28878	CHG	1	10	0.996
chr2	29090	CG	13	8	0.997
chr2	29312	CG	7	12	0.995
chr2	29534	CG	12	7	0.997
chr2	29756	CG	8	9	0.996
chr2	29978	CG	15	6	0.998
chr3	30190	CG	5	10	0.996
chr3	30412	CHH	0	11	0.996
chr3	30634	CG	10	7	0.997
chr3	30856	CG	6	12	0.995
chr3	31078	CG	11	8	0.996
chr3	31290	CG	9	7	0.997
chr3	31512	CG	14	5	0.998
chr3	31734	CG	7	11	0.996
chr3	31956	CG	12	6	0.997
chr3	32178	CHG	0	10	0.996
chr3	32390	CG	8	10	0.996
chr3	32612	CG	13	7	0.997
chr3	32834	CG	5	12	0.995
chr3	33056	CG	10	9	0.996
chr3	33278	CG	6	13	0.996
chr3	33490	CG	11	7	0.997
chr3	33712	CHH	0	12	0.996
chr3	33934	CG	9	8	0.996
chr3	34156	CG	15	5	0.998
chr3	34378	CG	7	10	0.996
chr3	34590	CG	12	6	0.997
chr3	34812	CG	8	9	0.996
chr3	35034	CG	14	7	0.997
chr3	35256	CG	5	11	0.995
chr3	35478	CHG	1	11	0.996
chr3	35690	CG	10	8	0.996
chr3	35912	CG	6	12	0.996
chr3	36134	CG	11	7	0.997
chr3	36356	CG	9	6	0.996
chr3	36578	CG	13	8	0.997
chr3	36790	CG	7	12	0.995
chr3	37012	CHH	0	10	0.996
chr3	37234	CG	12	7	0.997
chr3	37456	CG	8	9	0.996
chr3	37678	CG	15	6	0.998
chr3	37890	CG	5	10	0.996
chr3	38112	CG	10	7	0.997
chr3	38334	CG	6	12	0.995
chr3	38556	CG	11	8	0.996
chr3	38778	CHG	0	11	0.996
chr3	38990	CG	9	7	0.997
chr4	39212	CG	14	5	0.998
chr4	39434	CG	7	11	0.996
chr4	39656	CG	12	6	0.997
chr4	39878	CG	8	10	0.996
chr4	40090	CHH	0	12	0.996
chr4	40312	CG	13	7	0.997
chr4	40534	CG	5	12	0.995
chr4	40756	CG	10	9	0.996
chr4	40978	CG	6	13	0.996
chr4	41190	CG	11	7	0.997
chr4	41412	CG	9	8	0.996
chr4	41634	CHG	1	10	0.996
chr4	41856	CG	15	5	0.998
chr4	42078	CG	7	10	0.996
chr4	42290	CG	12	6	0.997
chr4	42512	CG	8	9	0.996
chr4	42734	CG	14	7	0.997
chr4	42956	CG	5	11	0.995
chr4	43178	CHH	0	11	0.996
chr4	43390	CG	10	8	0.996
chr4	43612	CG	6	12	0.996
chr4	43834	CG	11	7	0.997
