chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10523	CG	7	3	0.996
chr1	10541	CG	5	8	0.995
chr1	10568	CG	12	4	0.997
chr1	10602	CG	3	9	0.994
chr1	10635	CG	8	6	0.996
chr1	10671	CG	4	5	0.995
chr1	10708	CG	9	7	0.998
chr1	10745	CG	6	4	0.996
chr1	10782	CG	11	3	0.997
chr1	10819	CG	2	8	0.995
chr1	10856	CG	7	5	0.996
chr1	10893	CG	4	6	0.995
chr1	10930	CHH	0	10	0.994
chr1	10967	CG	8	4	0.997
chr1	11004	CG	5	7	0.996
chr1	11041	CG	9	3	0.998
chr1	11078	CG	6	5	0.995
chr1	11115	CG	3	8	0.996
chr1	11152	CG	10	4	0.997
chr1	11189	CG	7	6	0.996
chr1	11226	CHG	1	12	0.995
chr1	11263	CG	4	5	0.996
chr1	11300	CG	8	7	0.997
chr1	11337	CG	5	4	0.995
chr1	11374	CG	9	6	0.998
chr1	11411	CG	6	8	0.996
chr1	11448	CG	3	5	0.995
chr1	11485	CG	11	4	0.997
chr1	11522	CG	7	3	0.996
chr1	11559	CG	4	9	0.995
chr1	11596	CG	8	5	0.997
chr1	11633	CG	5	6	0.996
chr1	11670	CHH	0	11	0.993
chr1	11707	CG	9	4	0.998
chr1	11744	CG	6	7	0.996
chr1	11781	CG	3	4	0.995
chr1	11818	CG	10	5	0.997
chr1	11855	CG	7	8	0.996
chr1	11892	CG	4	3	0.995
chr1	11929	CG	8	6	0.997
chr1	11966	CG	5	5	0.996
chr1	12003	CG	9	7	0.998
chr1	12040	CHG	1	13	0.994
chr1	12077	CG	6	4	0.996
chr1	12114	CG	3	8	0.995
chr1	12151	CG	11	5	0.997
chr1	12188	CG	7	6	0.996
chr1	12225	CG	4	4	0.995
chr1	12262	CG	8	7	0.997
chr1	12299	CG	5	3	0.996
chr1	12336	CG	9	8	0.998
chr1	12373	CG	6	5	0.996
chr1	12410	CG	3	6	0.995
chr1	12447	CHH	0	9	0.994
chr1	12484	CG	10	4	0.997
chr1	12521	CG	7	5	0.996
chr1	12558	CG	4	7	0.995
chr1	12595	CG	8	3	0.997
chr1	12632	CG	5	6	0.996
chr1	12669	CG	9	4	0.998
chr1	12706	CG	6	8	0.996
chr1	12743	CG	3	5	0.995
chr1	12780	CG	11	6	0.997
chr1	12817	CHG	1	11	0.995
chr1	12854	CG	7	4	0.996
chr1	12891	CG	4	5	0.995
chr1	12928	CG	8	6	0.997
chr1	12965	CG	5	7	0.996
chr1	13002	CG	9	3	0.998
chr1	13039	CG	6	4	0.996
chr1	13076	CG	3	8	0.995
chr1	13113	CG	10	5	0.997
chr1	13150	CG	7	6	0.996
chr1	13187	CHH	0	12	0.993
chr1	13224	CG	4	4	0.995
chr1	13261	CG	8	7	0.997
chr1	13298	CG	5	3	0.996
chr1	13335	CG	9	5	0.998
chr1	13372	CG	6	8	0.996
chr1	13409	CG	3	6	0.995
chr1	13446	CG	11	4	0.997
chr1	13483	CG	7	5	0.996
chr1	13520	CG	4	7	0.995
chr1	13557	CHG	1	10	0.994
chr1	13594	CG	8	4	0.997
chr1	13631	CG	5	6	0.996
chr1	13668	CG	9	3	0.998
chr1	13705	CG	6	5	0.996
chr1	13742	CG	3	4	0.995
chr1	13779	CG	10	7	0.997
chr1	13816	CG	7	8	0.996
chr1	13853	CG	4	3	0.995
chr1	13890	CHH	0	11	0.994
chr1	13927	CG	8	6	0.997
chr1	13964	CG	5	5	0.996
chr1	14001	CG	9	4	0.998
chr1	14038	CG	6	7	0.996
chr1	14075	CG	3	8	0.995
chr2	10112	CG	11	5	0.997
chr2	10149	CG	7	4	0.996
chr2	10186	CG	4	6	0.995
chr2	10223	CHG	1	12	0.995
chr2	10260	CG	8	3	0.997
chr2	10297	CG	5	7	0.996
chr2	10334	CG	9	6	0.998
chr2	10371	CG	6	4	0.996
chr2	10408	CG	3	5	0.995
chr2	10445	CG	10	4	0.997
chr2	10482	CG	7	8	0.996
chr2	10519	CG	4	5	0.995
chr2	10556	CHH	0	10	0.993
chr2	10593	CG	8	6	0.997
chr2	10630	CG	5	3	0.996
chr2	10667	CG	9	7	0.998
chr2	10704	CG	6	5	0.996
chr2	10741	CG	3	4	0.995
chr2	10778	CG	11	6	0.997
chr2	10815	CG	7	7	0.996
chr2	10852	CHG	1	11	0.994
chr2	10889	CG	4	4	0.995
chr2	10926	CG	8	5	0.997
chr2	10963	CG	5	6	0.996
chr2	11000	CG	9	3	0.998
chr2	11037	CG	6	8	0.996
chr2	11074	CG	3	7	0.995
chr2	11111	CG	10	5	0.997
chr2	11148	CHH	0	9	0.994
chr2	11185	CG	7	4	0.996
chr2	11222	CG	4	5	0.995
chr2	11259	CG	8	6	0.997
chr2	11296	CG	5	7	0.996
chr2	11333	CG	9	4	0.998
chr2	11370	CG	6	5	0.996
chr2	11407	CG	3	8	0.995
chr2	11444	CHG	1	13	0.995
chr2	11481	CG	11	4	0.997
chr2	11518	CG	7	6	0.996
chr2	11555	CG	4	3	0.995
chr2	11592	CG	8	7	0.997
chr2	11629	CG	5	4	0.996
chr2	11666	CG	9	5	0.998
chr2	11703	CG	6	8	0.996
chr2	11740	CHH	0	12	0.993
chr2	11777	CG	3	6	0.995
chr2	11814	CG	10	4	0.997
chr2	11851	CG	7	5	0.996
chr2	11888	CG	4	7	0.995
chr2	11925	CG	8	3	0.997
chr2	11962	CG	5	6	0.996
chr2	11999	CG	9	4	0.998
chr2	12036	CHG	1	10	0.994
chr2	12073	CG	6	5	0.996
chr2	12110	CG	3	4	0.995
chr2	12147	CG	11	7	0.997
chr2	12184	CG	7	8	0.996
chr2	12221	CG	4	5	0.995
chr2	12258	CG	8	6	0.997
chr2	12295	CG	5	3	0.996
chr2	12332	CHH	0	11	0.994
chr2	12369	CG	9	7	0.998
chr2	12406	CG	6	4	0.996
chr2	12443	CG	3	8	0.995
chr2	12480	CG	10	5	0.997
chr2	12517	CG	7	6	0.996
chr2	12554	CG	4	4	0.995
chr2	12591	CG	8	7	0.997
chr2	12628	CHG	1	12	0.995
chr2	12665	CG	5	5	0.996
chr2	12702	CG	9	3	0.998
chr2	12739	CG	6	8	0.996
chr2	12776	CG	3	5	0.995
chr2	12813	CG	11	4	0.997
chr2	12850	CG	7	6	0.996
chr2	12887	CG	4	7	0.995
chr2	12924	CHH	0	10	0.993
chr2	12961	CG	8	4	0.997
chr2	12998	CG	5	6	0.996
chr2	13035	CG	9	5	0.998
chr2	13072	CG	6	3	0.996
chr2	13109	CG	3	8	0.995
chr2	13146	CG	10	4	0.997
chr2	13183	CG	7	7	0.996
chr2	13220	CHG	1	11	0.994
chr2	13257	CG	4	5	0.995
chr2	13294	CG	8	6	0.997
chr2	13331	CG	5	4	0.996
chr2	13368	CG	9	7	0.998
chr2	13405	CG	6	5	0.996
chr2	13442	CG	3	6	0.995
chr2	13479	CHH	0	9	0.994
chr2	13516	CG	11	5	0.997
chr2	13553	CG	7	4	0.996
chr2	13590	CG	4	8	0.995
chr2	13627	CG	8	3	0.997
chr2	13664	CG	5	7	0.996
chr2	13701	CG	9	4	0.998
chr2	13738	CG	6	6	0.996
chr2	13775	CHG	1	13	0.995
chr2	13812	CG	3	5	0.995
chr2	13849	CG	10	7	0.997
chr2	13886	CG	7	8	0.996
chr2	13923	CG	4	4	0.995
chr2	13960	CG	8	5	0.997
chr2	13997	CG	5	6	0.996
chr2	14034	CG	9	3	0.998
chr2	14071	CHH	0	12	0.993
chr2	14108	CG	6	5	0.996
chr3	10145	CG	3	7	0.995
chr3	10182	CG	11	4	0.997
chr3	10219	CG	7	6	0.996
chr3	10256	CG	4	5	0.995
chr3	10293	CG	8	7	0.997
chr3	10330	CHG	1	10	0.994
chr3	10367	CG	5	3	0.996
chr3	10404	CG	9	6	0.998
chr3	10441	CG	6	4	0.996
chr3	10478	CG	3	8	0.995
chr3	10515	CG	10	5	0.997
chr3	10552	CG	7	7	0.996
chr3	10589	CHH	0	11	0.994
chr3	10626	CG	4	4	0.995
chr3	10663	CG	8	6	0.997
chr3	10700	CG	5	5	0.996
chr3	10737	CG	9	3	0.998
chr3	10774	CG	6	8	0.996
chr3	10811	CG	3	6	0.995
chr3	10848	CHG	1	12	0.995
chr3	10885	CG	11	4	0.997
chr3	10922	CG	7	5	0.996
chr3	10959	CG	4	7	0.995
chr3	10996	CG	8	4	0.997
chr3	11033	CG	5	6	0.996
chr3	11070	CG	9	5	0.998
chr3	11107	CHH	0	10	0.993
chr3	11144	CG	6	3	0.996
chr3	11181	CG	3	8	0.995
chr3	11218	CG	10	7	0.997
chr3	11255	CG	7	6	0.996
chr3	11292	CG	4	4	0.995
chr3	11329	CG	8	5	0.997
chr3	11366	CHG	1	11	0.994
chr3	11403	CG	5	7	0.996
chr3	11440	CG	9	4	0.998
chr3	11477	CG	6	5	0.996
chr3	11514	CG	3	6	0.995
chr3	11551	CG	11	5	0.997
chr3	11588	CG	7	8	0.996
chr3	11625	CHH	0	9	0.994
chr3	11662	CG	4	3	0.995
chr3	11699	CG	8	7	0.997
chr3	11736	CG	5	4	0.996
chr3	11773	CG	9	6	0.998
chr3	11810	CG	6	5	0.996
chr3	11847	CG	3	8	0.995
chr3	11884	CHG	1	13	0.995
chr3	11921	CG	10	4	0.997
chr3	11958	CG	7	6	0.996
chr3	11995	CG	4	5	0.995
chr3	12032	CG	8	3	0.997
chr3	12069	CG	5	7	0.996
chr3	12106	CG	9	4	0.998
chr3	12143	CHH	0	12	0.993
chr3	12180	CG	6	8	0.996
chr3	12217	CG	3	5	0.995
chr3	12254	CG	11	6	0.997
chr3	12291	CG	7	4	0.996
chr3	12328	CG	4	7	0.995
chr3	12365	CG	8	5	0.997
chr3	12402	CHG	1	10	0.994
chr3	12439	CG	5	6	0.996
chr3	12476	CG	9	3	0.998
chr3	12513	CG	6	4	0.996
chr3	12550	CG	3	8	0.995
chr3	12587	CG	10	5	0.997
chr3	12624	CG	7	7	0.996
chr3	12661	CHH	0	11	0.994
chr3	12698	CG	4	4	0.995
chr3	12735	CG	8	6	0.997
chr3	12772	CG	5	5	0.996
chr3	12809	CG	9	7	0.998
chr3	12846	CG	6	3	0.996
chr3	12883	CHG	1	12	0.995
chr3	12920	CG	3	6	0.995
chr3	12957	CG	11	4	0.997
chr3	12994	CG	7	8	0.996
chr3	13031	CG	4	5	0.995
chr3	13068	CG	8	3	0.997
chr3	13105	CG	5	7	0.996
chr3	13142	CHH	0	10	0.993
chr3	13179	CG	9	6	0.998
chr3	13216	CG	6	4	0.996
chr3	13253	CG	3	8	0.995
chr3	13290	CG	10	5	0.997
chr3	13327	CG	7	6	0.996
chr3	13364	CG	4	4	0.995
chr3	13401	CHG	1	11	0.994
chr3	13438	CG	8	7	0.997
chr3	13475	CG	5	3	0.996
chr3	13512	CG	9	5	0.998
chr3	13549	CG	6	8	0.996
chr3	13586	CG	3	5	0.995
chr3	13623	CG	11	6	0.997
chr3	13660	CHH	0	9	0.994
chr3	13697	CG	7	4	0.996
chr3	13734	CG	4	7	0.995
chr3	13771	CG	8	5	0.997
chr3	13808	CG	5	6	0.996
chr3	13845	CG	9	4	0.998
chr3	13882	CG	6	5	0.996
chr3	13919	CHG	1	13	0.995
chr3	13956	CG	3	8	0.995
chr3	13993	CG	10	4	0.997
chr3	14030	CG	7	7	0.996
chr3	14067	CG	4	3	0.995
chr3	14104	CG	8	6	0.997
chr4	10141	CG	5	5	0.996
chr4	10178	CHH	0	12	0.993
chr4	10215	CG	9	4	0.998
chr4	10252	CG	6	8	0.996
chr4	10289	CG	3	6	0.995
chr4	10326	CG	11	5	0.997
chr4	10363	CG	7	4	0.996
chr4	10400	CHG	1	10	0.994
chr4	10437	CG	4	7	0.995
chr4	10474	CG	8	3	0.997
chr4	10511	CG	5	6	0.996
chr4	10548	CG	9	5	0.998
chr4	10585	CG	6	4	0.996
chr4	10622	CG	3	8	0.995
chr4	10659	CHH	0	11	0.994
chr4	10696	CG	10	7	0.997
chr4	10733	CG	7	6	0.996
chr4	10770	CG	4	5	0.995
chr4	10807	CG	8	7	0.997
chr4	10844	CG	5	3	0.996
chr4	10881	CHG	1	12	0.995
chr4	10918	CG	9	6	0.998
chr4	10955	CG	6	5	0.996
chr4	10992	CG	3	4	0.995
chr4	11029	CG	11	4	0.997
chr4	11066	CG	7	8	0.996
chr4	11103	CHH	0	10	0.993
chr4	11140	CG	4	5	0.995
chr4	11177	CG	8	6	0.997
chr4	11214	CG	5	7	0.996
chr4	11251	CG	9	3	0.998
chr4	11288	CG	6	4	0.996
chr4	11325	CHG	1	11	0.994
chr4	11362	CG	3	8	0.995
chr4	11399	CG	10	5	0.997
chr4	11436	CG	7	6	0.996
chr4	11473	CG	4	4	0.995
chr4	11510	CG	8	5	0.997
chr4	11547	CG	5	6	0.996
chr4	11584	CHH	0	9	0.994
chr4	11621	CG	9	4	0.998
chr4	11658	CG	6	8	0.996
chr4	11695	CG	3	5	0.995
chr4	11732	CG	11	6	0.997
chr4	11769	CG	7	4	0.996
chr4	11806	CHG	1	13	0.995
chr4	11843	CG	4	7	0.995
chr4	11880	CG	8	3	0.997
chr4	11917	CG	5	5	0.996
chr4	11954	CG	9	7	0.998
chr4	11991	CG	6	3	0.996
chr4	12028	CHH	0	12	0.993
chr4	12065	CG	3	8	0.995
chr4	12102	CG	10	4	0.997
chr4	12139	CG	7	6	0.996
chr4	12176	CG	4	5	0.995
chr4	12213	CG	8	7	0.997
chr4	12250	CHG	1	10	0.994
chr4	12287	CG	5	4	0.996
chr4	12324	CG	9	6	0.998
chr4	12361	CG	6	5	0.996
chr4	12398	CG	3	6	0.995
chr4	12435	CG	11	5	0.997
chr4	12472	CHH	0	11	0.994
chr4	12509	CG	7	8	0.996
chr4	12546	CG	4	3	0.995
chr4	12583	CG	8	6	0.997
chr4	12620	CG	5	7	0.996
chr4	12657	CG	9	4	0.998
chr4	12694	CHG	1	12	0.995
chr4	12731	CG	6	5	0.996
chr4	12768	CG	3	8	0.995
chr4	12805	CG	10	4	0.997
chr4	12842	CG	7	6	0.996
chr4	12879	CG	4	5	0.995
chr4	12916	CHH	0	10	0.993
chr4	12953	CG	8	7	0.997
chr4	12990	CG	5	3	0.996
chr4	13027	CG	9	5	0.998
chr4	13064	CG	6	8	0.996
chr4	13101	CG	3	4	0.995
chr4	13138	CHG	1	11	0.994
chr4	13175	CG	11	6	0.997
chr4	13212	CG	7	5	0.996
chr4	13249	CG	4	7	0.995
chr4	13286	CG	8	4	0.997
chr4	13323	CG	5	6	0.996
chr4	13360	CHH	0	9	0.994
chr4	13397	CG	9	3	0.998
chr4	13434	CG	6	5	0.996
chr4	13471	CG	3	8	0.995
chr4	13508	CG	10	7	0.997
chr4	13545	CG	7	6	0.996
chr4	13582	CHG	1	13	0.995
chr4	13619	CG	4	4	0.995
chr4	13656	CG	8	5	0.997
chr4	13693	CG	5	7	0.996
chr4	13730	CG	9	4	0.998
chr4	13767	CG	6	3	0.996
chr4	13804	CHH	0	12	0.993
chr4	13841	CG	3	8	0.995
chr4	13878	CG	11	5	0.997
chr4	13915	CG	7	7	0.996
chr4	13952	CG	4	6	0.995
chr4	13989	CG	8	3	0.997
chr4	14026	CHG	1	10	0.994
chr4	14063	CG	5	5	0.996
chr4	14100	CG	9	6	0.998
chr5	10137	CG	6	4	0.996
chr5	10174	CG	3	8	0.995
chr5	10211	CG	10	5	0.997
chr5	10248	CHH	0	11	0.994
chr5	10285	CG	7	6	0.996
chr5	10322	CG	4	4	0.995
chr5	10359	CG	8	7	0.997
chr5	10396	CG	5	3	0.996
chr5	10433	CG	9	5	0.998
chr5	10470	CHG	1	12	0.995
chr5	10507	CG	6	8	0.996
chr5	10544	CG	3	6	0.995
chr5	10581	CG	11	4	0.997
chr5	10618	CG	7	5	0.996
chr5	10655	CG	4	7	0.995
chr5	10692	CHH	0	10	0.993
chr5	10729	CG	8	4	0.997
chr5	10766	CG	5	6	0.996
chr5	10803	CG	9	3	0.998
chr5	10840	CG	6	5	0.996
chr5	10877	CG	3	8	0.995
chr5	10914	CHG	1	11	0.994
chr5	10951	CG	10	7	0.997
chr5	10988	CG	7	6	0.996
chr5	11025	CG	4	5	0.995
chr5	11062	CG	8	6	0.997
chr5	11099	CG	5	7	0.996
chr5	11136	CHH	0	9	0.994
chr5	11173	CG	9	4	0.998
chr5	11210	CG	6	4	0.996
chr5	11247	CG	3	8	0.995
chr5	11284	CG	11	5	0.997
chr5	11321	CHG	1	13	0.995
chr5	11358	CG	7	6	0.996
chr5	11395	CG	4	3	0.995
chr5	11432	CG	8	7	0.997
chr5	11469	CG	5	5	0.996
chr5	11506	CG	9	6	0.998
chr5	11543	CHH	0	12	0.993
chr5	11580	CG	6	3	0.996
chr5	11617	CG	3	8	0.995
chr5	11654	CG	10	4	0.997
chr5	11691	CG	7	7	0.996
chr5	11728	CG	4	5	0.995
