chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10023	CG	0	1	0.995
chr1	10145	CG	1	0	0.996
chr1	10267	CG	0	0	0.994
chr1	10389	CG	8	7	0.997
chr1	10512	CG	2	1	0.993
chr1	10634	CG	0	1	0.995
chr1	10756	CG	1	1	0.996
chr1	10878	CG	5	4	0.994
chr1	11001	CG	0	2	0.995
chr1	11123	CG	1	0	0.997
chr1	11245	CG	0	1	0.996
chr1	11367	CG	9	6	0.995
chr1	11489	CG	1	0	0.994
chr1	11612	CG	0	0	0.996
chr1	11734	CG	7	8	0.995
chr1	11856	CG	2	0	0.997
chr1	11978	CG	0	1	0.994
chr1	12101	CG	1	1	0.996
chr1	12223	CG	0	0	0.995
chr1	12345	CG	6	5	0.994
chr1	12467	CHH	0	8	0.996
chr1	12589	CG	1	0	0.995
chr1	12712	CG	0	2	0.997
chr1	12834	CG	0	1	0.994
chr1	12956	CG	10	9	0.996
chr1	13078	CG	1	0	0.995
chr1	13201	CG	0	0	0.994
chr1	13323	CG	5	6	0.997
chr1	13445	CG	0	1	0.995
chr1	13567	CHG	0	7	0.996
chr1	13689	CG	2	1	0.994
chr1	13812	CG	0	0	0.995
chr1	13934	CG	8	7	0.996
chr1	14056	CG	1	0	0.997
chr1	14178	CG	0	1	0.994
chr1	14301	CG	0	2	0.995
chr1	14423	CG	7	5	0.996
chr1	14545	CG	1	1	0.994
chr1	14667	CG	0	0	0.997
chr1	14789	CG	9	8	0.995
chr1	14912	CHH	0	9	0.996
chr1	15034	CG	0	1	0.994
chr1	15156	CG	1	0	0.995
chr1	15278	CG	0	0	0.997
chr1	15401	CG	6	7	0.994
chr1	15523	CG	2	1	0.996
chr1	15645	CG	0	1	0.995
chr1	15767	CG	1	0	0.994
chr1	15889	CG	0	2	0.997
chr1	16012	CG	8	6	0.995
chr1	16134	CG	0	0	0.996
chr1	16256	CHG	0	6	0.994
chr1	16378	CG	1	1	0.995
chr1	16501	CG	0	1	0.997
chr1	16623	CG	10	9	0.994
chr1	16745	CG	1	0	0.996
chr1	16867	CG	0	0	0.995
chr1	16989	CG	7	8	0.994
chr1	17112	CG	0	2	0.997
chr1	17234	CG	2	1	0.995
chr1	17356	CG	0	0	0.996
chr1	17478	CHH	0	10	0.994
chr1	17601	CG	9	7	0.995
chr1	17723	CG	1	0	0.997
chr1	17845	CG	0	1	0.994
chr1	17967	CG	0	0	0.996
chr1	18089	CG	6	5	0.995
chr1	18212	CG	1	1	0.994
chr1	18334	CG	0	2	0.997
chr1	18456	CG	8	9	0.995
chr1	18578	CG	0	0	0.996
chr1	18701	CHG	0	8	0.994
chr1	18823	CG	1	0	0.995
chr1	18945	CG	0	1	0.997
chr1	19067	CG	7	6	0.994
chr1	19189	CG	2	0	0.996
chr1	19312	CG	0	0	0.995
chr1	19434	CG	1	1	0.994
chr1	19556	CG	0	2	0.997
chr1	19678	CG	9	8	0.995
chr1	19801	CG	0	1	0.996
chr1	19923	CHH	0	7	0.994
chr1	20045	CG	1	0	0.995
chr1	20167	CG	0	0	0.997
chr1	20289	CG	8	7	0.994
chr1	20412	CG	1	1	0.996
chr1	20534	CG	0	2	0.995
chr1	20656	CG	6	5	0.994
chr1	20778	CG	0	0	0.997
chr1	20901	CG	2	1	0.995
chr1	21023	CG	0	1	0.996
chr1	21145	CHG	0	9	0.994
chr1	21267	CG	10	9	0.995
chr1	21389	CG	0	0	0.997
chr1	21512	CG	1	0	0.994
chr1	21634	CG	0	1	0.996
chr1	21756	CG	7	8	0.995
chr1	21878	CG	1	1	0.994
chr1	22001	CG	0	0	0.997
chr1	22123	CG	9	6	0.995
chr1	22245	CHH	0	8	0.996
chr1	22367	CG	0	2	0.994
chr2	10045	CG	1	0	0.995
chr2	10167	CG	0	0	0.997
chr2	10289	CG	8	7	0.994
chr2	10412	CG	2	1	0.996
chr2	10534	CG	0	1	0.995
