chromosome	position	context	methylated_count	unmethylated_count	conversion_control
chr1	10234	CG	8	5	0.988
chr1	10456	CG	3	9	0.982
chr1	10678	CG	12	4	0.986
chr1	10890	CG	6	7	0.984
chr1	11234	CG	9	8	0.987
chr1	11456	CG	4	11	0.983
chr1	11678	CG	7	6	0.985
chr1	11890	CG	5	9	0.981
chr1	12234	CG	10	3	0.989
chr1	12456	CG	2	13	0.980
chr1	12678	CHG	0	8	0.978
chr1	12890	CG	11	6	0.986
chr1	13234	CG	8	7	0.984
chr1	13456	CG	5	10	0.982
chr1	13678	CG	9	4	0.987
chr1	13890	CG	6	8	0.985
chr1	14234	CG	12	5	0.988
chr1	14456	CG	3	12	0.981
chr1	14678	CG	7	9	0.983
chr1	14890	CHH	0	7	0.976
chr1	15234	CG	10	6	0.986
chr1	15456	CG	4	11	0.984
chr1	15678	CG	8	5	0.987
chr1	15890	CG	5	9	0.982
chr1	16234	CG	11	4	0.989
chr1	16456	CG	6	10	0.985
chr1	16678	CG	9	7	0.983
chr1	16890	CG	3	13	0.980
chr1	17234	CG	12	6	0.988
chr1	17456	CG	7	8	0.984
chr1	17678	CG	5	11	0.981
chr1	17890	CG	10	5	0.986
chr1	18234	CHG	0	9	0.977
chr1	18456	CG	8	6	0.985
chr1	18678	CG	4	12	0.982
chr1	18890	CG	11	7	0.987
chr1	19234	CG	6	9	0.983
chr1	19456	CG	9	5	0.986
chr1	19678	CG	3	10	0.984
chr1	19890	CG	12	4	0.989
chr1	20234	CG	7	8	0.985
chr1	20456	CG	5	11	0.981
chr1	20678	CHH	0	8	0.975
chr1	20890	CG	10	6	0.986
chr1	21234	CG	8	7	0.984
chr1	21456	CG	4	13	0.980
chr1	21678	CG	11	5	0.988
chr1	21890	CG	6	9	0.983
chr1	22234	CG	9	6	0.985
chr1	22456	CG	3	12	0.982
chr1	22678	CG	12	7	0.987
chr1	22890	CG	7	10	0.984
chr1	23234	CG	5	8	0.981
chr1	23456	CG	10	4	0.986
chr1	23678	CHG	0	7	0.978
chr1	23890	CG	8	6	0.985
chr1	24234	CG	4	11	0.982
chr1	24456	CG	11	5	0.988
chr1	24678	CG	6	9	0.984
chr1	24890	CG	9	7	0.986
chr1	25234	CG	3	13	0.980
chr1	25456	CG	12	6	0.989
chr1	25678	CG	7	8	0.983
chr1	25890	CHH	0	9	0.976
chr1	26234	CG	10	5	0.987
chr1	26456	CG	5	11	0.981
chr1	26678	CG	8	6	0.985
chr1	26890	CG	4	12	0.982
chr1	27234	CG	11	7	0.988
chr1	27456	CG	6	10	0.984
chr1	27678	CG	9	5	0.986
chr1	27890	CG	3	13	0.980
chr2	10234	CG	12	4	0.989
chr2	10456	CG	7	9	0.983
chr2	10678	CHG	0	8	0.977
chr2	10890	CG	10	6	0.985
chr2	11234	CG	5	11	0.981
chr2	11456	CG	8	7	0.984
chr2	11678	CG	4	12	0.982
chr2	11890	CG	11	5	0.988
chr2	12234	CG	6	9	0.986
chr2	12456	CG	9	6	0.983
chr2	12678	CG	3	10	0.980
chr2	12890	CHH	0	7	0.975
chr2	13234	CG	12	7	0.987
chr2	13456	CG	7	8	0.985
chr2	13678	CG	5	11	0.981
chr2	13890	CG	10	5	0.986
chr2	14234	CG	8	6	0.984
chr2	14456	CG	4	13	0.980
chr2	14678	CG	11	7	0.988
chr2	14890	CG	6	9	0.983
chr2	15234	CHG	0	9	0.978
chr2	15456	CG	9	5	0.985
chr2	15678	CG	3	12	0.982
chr2	15890	CG	12	6	0.989
chr2	16234	CG	7	10	0.984
chr2	16456	CG	5	8	0.981
chr2	16678	CG	10	4	0.986
chr2	16890	CG	8	7	0.983
chr2	17234	CG	4	11	0.980
chr2	17456	CHH	0	8	0.976
chr2	17678	CG	11	5	0.988
chr2	17890	CG	6	9	0.985
chr2	18234	CG	9	6	0.982
chr2	18456	CG	3	13	0.979
chr2	18678	CG	12	7	0.987
chr2	18890	CG	7	8	0.984
chr2	19234	CG	5	11	0.981
chr2	19456	CG	10	6	0.986
chr2	19678	CHG	0	7	0.977
chr2	19890	CG	8	5	0.985
chr2	20234	CG	4	12	0.982
chr2	20456	CG	11	6	0.988
chr2	20678	CG	6	10	0.983
chr2	20890	CG	9	7	0.986
chr2	21234	CG	3	13	0.980
chr2	21456	CG	12	5	0.989
chr2	21678	CG	7	9	0.984
chr2	21890	CHH	0	9	0.975
chr2	22234	CG	10	5	0.987
chr2	22456	CG	5	11	0.981
chr2	22678	CG	8	6	0.985
chr2	22890	CG	4	12	0.982
chr2	23234	CG	11	7	0.988
chr2	23456	CG	6	9	0.984
chr2	23678	CG	9	5	0.986
chr2	23890	CG	3	10	0.980
chr2	24234	CHG	0	8	0.978
chr2	24456	CG	12	6	0.989
chr2	24678	CG	7	8	0.983
chr2	24890	CG	5	11	0.981
chr2	25234	CG	10	5	0.986
chr2	25456	CG	8	7	0.984
chr2	25678	CG	4	13	0.980
chr2	25890	CG	11	5	0.988
chr2	26234	CHH	0	7	0.976
chr2	26456	CG	6	9	0.985
chr2	26678	CG	9	6	0.982
chr2	26890	CG	3	12	0.979
chr2	27234	CG	12	7	0.987
chr2	27456	CG	7	10	0.984
chr2	27678	CG	5	8	0.981
chr2	27890	CG	10	4	0.986
chr3	10234	CG	8	6	0.983
chr3	10456	CHG	0	9	0.977
chr3	10678	CG	4	11	0.980
chr3	10890	CG	11	5	0.988
chr3	11234	CG	6	9	0.985
chr3	11456	CG	9	7	0.982
chr3	11678	CG	3	13	0.979
chr3	11890	CG	12	6	0.989
chr3	12234	CG	7	8	0.984
chr3	12456	CHH	0	8	0.975
chr3	12678	CG	5	11	0.981
chr3	12890	CG	10	5	0.986
chr3	13234	CG	8	7	0.983
chr3	13456	CG	4	12	0.980
chr3	13678	CG	11	6	0.988
chr3	13890	CG	6	10	0.985
chr3	14234	CG	9	5	0.987
chr3	14456	CHG	0	7	0.978
chr3	14678	CG	3	13	0.980
chr3	14890	CG	12	7	0.989
chr3	15234	CG	7	9	0.984
chr3	15456	CG	5	11	0.981
chr3	15678	CG	10	6	0.986
chr3	15890	CG	8	5	0.983
chr3	16234	CG	4	12	0.980
chr3	16456	CHH	0	9	0.976
chr3	16678	CG	11	7	0.988
chr3	16890	CG	6	9	0.985
chr3	17234	CG	9	6	0.982
chr3	17456	CG	3	10	0.979
chr3	17678	CG	12	5	0.987
chr3	17890	CG	7	8	0.984
chr3	18234	CG	5	11	0.981
chr3	18456	CHG	0	8	0.977
chr3	18678	CG	10	5	0.986
chr3	18890	CG	8	6	0.983
chr3	19234	CG	4	13	0.980
chr3	19456	CG	11	7	0.988
chr3	19678	CG	6	9	0.985
chr3	19890	CG	9	5	0.982
chr3	20234	CG	3	12	0.979
chr3	20456	CHH	0	7	0.975
chr3	20678	CG	12	6	0.989
chr3	20890	CG	7	10	0.984
chr3	21234	CG	5	8	0.981
chr3	21456	CG	10	4	0.986
chr3	21678	CG	8	7	0.983
chr3	21890	CG	4	11	0.980
chr3	22234	CG	11	5	0.988
chr3	22456	CHG	0	9	0.978
chr3	22678	CG	6	9	0.985
chr3	22890	CG	9	6	0.982
chr3	23234	CG	3	13	0.979
chr3	23456	CG	12	7	0.987
chr3	23678	CG	7	8	0.984
chr3	23890	CG	5	11	0.981
chr3	24234	CHH	0	8	0.976
chr3	24456	CG	10	5	0.986
chr3	24678	CG	8	6	0.983
chr3	24890	CG	4	12	0.980
chr3	25234	CG	11	6	0.988
chr3	25456	CG	6	10	0.985
chr3	25678	CG	9	5	0.982
chr3	25890	CG	3	13	0.979
chr3	26234	CHG	0	7	0.977
chr3	26456	CG	12	6	0.989
chr3	26678	CG	7	9	0.984
chr3	26890	CG	5	11	0.981
chr3	27234	CG	10	5	0.986
chr3	27456	CG	8	7	0.983
chr3	27678	CG	4	12	0.980
chr3	27890	CHH	0	9	0.975
chr4	10234	CG	11	5	0.988
chr4	10456	CG	6	9	0.985
chr4	10678	CG	9	6	0.982
chr4	10890	CG	3	10	0.979
chr4	11234	CG	12	7	0.987
chr4	11456	CG	7	8	0.984
chr4	11678	CHG	0	8	0.978
chr4	11890	CG	5	11	0.981
chr4	12234	CG	10	5	0.986
chr4	12456	CG	8	6	0.983
chr4	12678	CG	4	13	0.980
chr4	12890	CG	11	7	0.988
chr4	13234	CG	6	9	0.985
chr4	13456	CHH	0	7	0.976
chr4	13678	CG	9	5	0.982
