snp_a,snp_b,r2,distance_kb
rs1000001,rs1000002,0.85,45.3
rs1000002,rs1000001,0.85,45.3
rs1000001,rs1000003,0.42,180.5
rs1000002,rs1000004,0.25,50.0
rs1000003,rs1000005,0.65,350.2
rs1000004,rs1000006,0.91,25.8
rs1000005,rs1000007,0.15,90.3
rs1000006,rs1000008,0.78,135.7
rs1000007,rs1000009,0.33,420.1
rs1000008,rs1000010,0.52,175.4
rs1000009,rs1000011,0.88,58.9
rs1000010,rs1000012,0.19,310.6
rs1000011,rs1000013,0.67,95.2
rs1000012,rs1000014,0.41,225.8
rs1000013,rs1000015,0.29,62.4
rs1000014,rs1000016,0.73,148.3
rs1000015,rs1000017,0.12,380.9
rs1000016,rs1000018,0.56,112.7
rs1000017,rs1000019,0.82,45.1
rs1000018,rs1000020,0.21,295.5
rs1000019,rs1000021,0.94,38.6
rs1000020,rs1000022,0.37,167.2
rs1000021,rs1000023,0.48,410.8
rs1000022,rs1000024,0.76,82.3
rs1000023,rs1000025,0.14,245.9
rs1000024,rs1000026,0.61,128.4
rs1000025,rs1000027,0.89,72.6
rs1000026,rs1000028,0.26,355.1
rs1000027,rs1000029,0.71,105.8
rs1000028,rs1000030,0.44,198.7
rs1000029,rs1000031,0.18,425.3
rs1000030,rs1000032,0.83,55.9
rs1000031,rs1000033,0.35,287.4
rs1000032,rs1000034,0.69,142.6
rs1000033,rs1000035,0.22,368.2
rs1000034,rs1000036,0.58,91.7
rs1000035,rs1000037,0.92,31.5
rs1000036,rs1000038,0.27,219.8
rs1000037,rs1000039,0.74,156.3
rs1000038,rs1000040,0.46,392.9
rs1000039,rs1000041,0.81,68.4
rs1000040,rs1000042,0.16,305.7
rs1000041,rs1000043,0.63,123.1
rs1000042,rs1000044,0.39,441.6
rs1000043,rs1000045,0.77,87.2
rs1000044,rs1000046,0.24,258.5
rs1000045,rs1000047,0.86,48.9
rs1000046,rs1000048,0.31,374.3
rs1000047,rs1000049,0.72,115.6
rs1000048,rs1000050,0.43,336.8
rs1000049,rs1000051,0.19,182.4
rs1000050,rs1000052,0.64,76.1
rs1000051,rs1000053,0.91,412.7
rs1000052,rs1000054,0.28,149.3
rs1000053,rs1000055,0.79,93.8
rs1000054,rs1000056,0.47,325.9
rs1000055,rs1000057,0.13,201.2
rs1000056,rs1000058,0.68,138.5
rs1000057,rs1000059,0.36,467.1
rs1000058,rs1000060,0.84,61.7
rs1000059,rs1000061,0.23,289.4
rs1000060,rs1000062,0.75,104.9
rs1000061,rs1000063,0.49,356.3
rs1000062,rs1000064,0.17,173.8
rs1000063,rs1000065,0.66,79.2
rs1000064,rs1000066,0.38,418.6
rs1000065,rs1000067,0.87,52.4
rs1000066,rs1000068,0.25,245.7
rs1000067,rs1000069,0.73,127.1
rs1000068,rs1000070,0.42,384.5
rs1000069,rs1000071,0.19,195.3
rs1000070,rs1000072,0.62,88.6
rs1000071,rs1000073,0.34,432.9
rs1000072,rs1000074,0.80,65.2
rs1000073,rs1000075,0.26,301.8
rs1000074,rs1000076,0.71,141.7
rs1000075,rs1000077,0.45,369.4
rs1000076,rs1000078,0.15,186.9
rs1000077,rs1000079,0.59,74.3
rs1000078,rs1000080,0.33,447.6
rs1000079,rs1000081,0.78,109.8
rs1000080,rs1000082,0.41,316.2
rs1000081,rs1000083,0.20,163.5
rs1000082,rs1000084,0.67,97.1
rs1000083,rs1000085,0.89,28.4
rs1000084,rs1000086,0.29,273.9
rs1000085,rs1000087,0.76,135.6
rs1000086,rs1000088,0.48,402.3
rs1000087,rs1000089,0.14,192.8
rs1000088,rs1000090,0.61,83.7
rs1000089,rs1000091,0.37,458.1
rs1000090,rs1000092,0.82,56.9
rs1000091,rs1000093,0.24,294.4
rs1000092,rs1000094,0.69,121.3
rs1000093,rs1000095,0.43,351.7
rs1000094,rs1000096,0.18,178.2
rs1000095,rs1000097,0.65,92.8
rs1000096,rs1000098,0.91,37.5
rs1000097,rs1000099,0.27,426.9
rs1000098,rs1000100,0.74,154.1
rs1000099,rs1000101,0.46,318.6
rs1000100,rs1000102,0.16,205.3
rs1000101,rs1000103,0.63,71.9
rs1000102,rs1000104,0.35,443.2
rs1000103,rs1000105,0.81,108.4
rs1000104,rs1000106,0.22,265.8
rs1000105,rs1000107,0.70,145.7
rs1000106,rs1000108,0.44,387.1
rs1000107,rs1000109,0.17,198.9
rs1000108,rs1000110,0.58,86.3
rs1000109,rs1000111,0.32,472.6
rs1000110,rs1000112,0.77,62.5
